timestamp,data
1724181276.008134,"[-0.011644100456628434, 0.015690972870819657, 0.18029440178542278, 0.0, 0.0, 0.0]"
1724181276.0160186,"[-0.011725178840616284, 0.015800187223695725, 0.18154930160432084, 0.0, 0.0, 0.0]"
1724181276.0257545,"[-0.013664521090812386, 0.015452509796286124, 0.1797696073213304, 0.0, 0.0, 0.0]"
1724181276.0365264,"[-0.01441322189228638, 0.014993829151651287, 0.1787543010027215, 0.0, 0.0, 0.0]"
1724181276.0393813,"[-0.006678331862474743, 0.016220203699949004, 0.18403549399510818, 0.0, 0.0, 0.0]"
1724181276.0457935,"[-0.008545838608673738, 0.016389248526034017, 0.18033224226630548, 0.0, 0.0, 0.0]"
1724181276.0562897,"[-0.009477212609499129, 0.01634380162589112, 0.1794093640133005, 0.0, 0.0, 0.0]"
1724181276.0691237,"[-0.00958933508805663, 0.016698821546028024, 0.1792692726333996, 0.0, 0.0, 0.0]"
1724181276.079434,"[-0.010073303872908512, 0.016754156161994077, 0.17861456932274028, 0.0, 0.0, 0.0]"
1724181276.0813806,"[-0.008916987765918144, 0.016216230653057613, 0.1771575380789162, 0.0, 0.0, 0.0]"
1724181276.087283,"[-0.009840778135545626, 0.01607824936009834, 0.17590276074394542, 0.0, 0.0, 0.0]"
1724181276.0972533,"[-0.010927026108128459, 0.015816362887780194, 0.17447312121054945, 0.0, 0.0, 0.0]"
1724181276.1068077,"[-0.010755258956537901, 0.01585648537075628, 0.17289671890051458, 0.0, 0.0, 0.0]"
1724181276.1181076,"[-0.010853268633635955, 0.015760164986909853, 0.171352739778386, 0.0, 0.0, 0.0]"
1724181276.127439,"[-0.01146034191773254, 0.015582581811386808, 0.17000785159882162, 0.0, 0.0, 0.0]"
1724181276.1331692,"[-0.008864102159347884, 0.016222410872467775, 0.18370531597250594, 0.0, 0.0, 0.0]"
1724181276.1371977,"[-0.008926233716539575, 0.016336119359891616, 0.1849929700564254, 0.0, 0.0, 0.0]"
1724181276.1485121,"[-0.009194695733560543, 0.0161899067434733, 0.18471201638837675, 0.0, 0.0, 0.0]"
1724181276.153177,"[0.007230038003338338, 0.016084792577994906, 0.17733379872797073, 0.0, 0.0, 0.0]"
1724181276.1562471,"[0.007280715839810336, 0.016197536451205148, 0.17857679264428827, 0.0, 0.0, 0.0]"
1724181276.1669357,"[0.00614120511426008, 0.01651053579014827, 0.17444390748822916, 0.0, 0.0, 0.0]"
1724181276.1762855,"[0.005763704132114072, 0.01675389596256151, 0.17438027883696322, 0.0, 0.0, 0.0]"
1724181276.1860476,"[0.005481164466642243, 0.01687385728219807, 0.17443433609079198, 0.0, 0.0, 0.0]"
1724181276.199151,"[0.004971566259175679, 0.016843369013837265, 0.17347801299865453, 0.0, 0.0, 0.0]"
1724181276.2057106,"[0.005004870089767257, 0.01695743625360634, 0.1746513906881413, 0.0, 0.0, 0.0]"
1724181276.2090538,"[0.010694782849415944, 0.01688595993039777, 0.17500102026013972, 0.0, 0.0, 0.0]"
1724181276.2165685,"[0.010769746280603438, 0.017004319462620186, 0.17622766292551453, 0.0, 0.0, 0.0]"
1724181276.2264276,"[0.01095686607612596, 0.01684488644544174, 0.17069712442345894, 0.0, 0.0, 0.0]"
1724181276.2287285,"[0.027019680356915203, 0.014734177609471677, 0.1543737723403892, 0.0, 0.0, 0.0]"
1724181276.2359257,"[0.027209070639790774, 0.01483745455533246, 0.15545583149230782, 0.0, 0.0, 0.0]"
1724181276.257869,"[0.027109023481693088, 0.01442204444991648, 0.15222502908322938, 0.0, 0.0, 0.0]"
1724181276.2656486,"[0.027296384997459035, 0.01452168573887579, 0.15327685789710363, 0.0, 0.0, 0.0]"
1724181276.268153,"[0.027483746513224983, 0.0146213270278351, 0.15432868671097788, 0.0, 0.0, 0.0]"
1724181276.2713072,"[0.02673024291594208, 0.014215490558194915, 0.15006091077939215, 0.0, 0.0, 0.0]"
1724181276.2772663,"[0.02691760443170803, 0.014315131847154224, 0.1511127395932664, 0.0, 0.0, 0.0]"
1724181276.2860518,"[0.026901641492860895, 0.014576138910705543, 0.14470369476969985, 0.0, 0.0, 0.0]"
1724181276.2952225,"[0.02695003154963306, 0.014711112341117837, 0.1438687234642174, 0.0, 0.0, 0.0]"
1724181276.3056002,"[0.026437413037997133, 0.014108383899628008, 0.14329548995513552, 0.0, 0.0, 0.0]"
1724181276.3153338,"[0.026042060821560253, 0.013685444721020956, 0.14227773762585424, 0.0, 0.0, 0.0]"
